Datetime,MarketDemand_MW
2002-05-01 1:00,14141
2002-05-01 2:00,13876
2002-05-01 3:00,13974
2002-05-01 4:00,13898
2002-05-01 5:00,14378
2002-05-01 6:00,15408
2002-05-01 7:00,17070
2002-05-01 8:00,17644
2002-05-01 9:00,17723
2002-05-01 10:00,17774
2002-05-01 11:00,17729
2002-05-01 12:00,17615
2002-05-01 13:00,17530
2002-05-01 14:00,17472
2002-05-01 15:00,17482
2002-05-01 16:00,17592
2002-05-01 17:00,17650
2002-05-01 18:00,17292
2002-05-01 19:00,17231
2002-05-01 20:00,17903
2002-05-01 21:00,17906
2002-05-01 22:00,16614
2002-05-01 23:00,15364
2002-05-01 0:00,14455
2002-05-02 1:00,13945
2002-05-02 2:00,13655
2002-05-02 3:00,13823
2002-05-02 4:00,13774
2002-05-02 5:00,14368
2002-05-02 6:00,15615
2002-05-02 7:00,17610
2002-05-02 8:00,18474
2002-05-02 9:00,18703
2002-05-02 10:00,18848
2002-05-02 11:00,18891
2002-05-02 12:00,18772
2002-05-02 13:00,18616
2002-05-02 14:00,18414
2002-05-02 15:00,18396
2002-05-02 16:00,18600
2002-05-02 17:00,18656
2002-05-02 18:00,18368
2002-05-02 19:00,18293
2002-05-02 20:00,18409
2002-05-02 21:00,18213
2002-05-02 22:00,16949
2002-05-02 23:00,15753
2002-05-02 0:00,14797
2002-05-03 1:00,14239
2002-05-03 2:00,14346
2002-05-03 3:00,14426
2002-05-03 4:00,14184
2002-05-03 5:00,14331
2002-05-03 6:00,15615
2002-05-03 7:00,17569
2002-05-03 8:00,18266
2002-05-03 9:00,18356
2002-05-03 10:00,18504
2002-05-03 11:00,18486
2002-05-03 12:00,18256
2002-05-03 13:00,18035
2002-05-03 14:00,17580
2002-05-03 15:00,17423
2002-05-03 16:00,17386
2002-05-03 17:00,17104
2002-05-03 18:00,16741
2002-05-03 19:00,16484
2002-05-03 20:00,16901
2002-05-03 21:00,17254
2002-05-03 22:00,16401
2002-05-03 23:00,15221
2002-05-03 0:00,14247
2002-05-04 1:00,13680
2002-05-04 2:00,13430
2002-05-04 3:00,13485
2002-05-04 4:00,13474
2002-05-04 5:00,13467
2002-05-04 6:00,13673
2002-05-04 7:00,14535
2002-05-04 8:00,15475
2002-05-04 9:00,16078
2002-05-04 10:00,16241
2002-05-04 11:00,16170
2002-05-04 12:00,16015
2002-05-04 13:00,15725
2002-05-04 14:00,15392
2002-05-04 15:00,15098
2002-05-04 16:00,15193
2002-05-04 17:00,15265
2002-05-04 18:00,14954
2002-05-04 19:00,14803
2002-05-04 20:00,15078
2002-05-04 21:00,15537
2002-05-04 22:00,15004
2002-05-04 23:00,14520
2002-05-04 0:00,13788
2002-05-05 1:00,13187
2002-05-05 2:00,12963
2002-05-05 3:00,12870
2002-05-05 4:00,12790
2002-05-05 5:00,12844
2002-05-05 6:00,12910
2002-05-05 7:00,13011
2002-05-05 8:00,13984
2002-05-05 9:00,14598
2002-05-05 10:00,14881
2002-05-05 11:00,15115
2002-05-05 12:00,15124
2002-05-05 13:00,14916
2002-05-05 14:00,14801
2002-05-05 15:00,14721
2002-05-05 16:00,14876
2002-05-05 17:00,15064
2002-05-05 18:00,14912
2002-05-05 19:00,14894
2002-05-05 20:00,15393
2002-05-05 21:00,15873
2002-05-05 22:00,15128
2002-05-05 23:00,14454
2002-05-05 0:00,13630
2002-05-06 1:00,13683
2002-05-06 2:00,13418
2002-05-06 3:00,13312
2002-05-06 4:00,13462
2002-05-06 5:00,13597
2002-05-06 6:00,14879
2002-05-06 7:00,16447
2002-05-06 8:00,17388
2002-05-06 9:00,17838
2002-05-06 10:00,18166
2002-05-06 11:00,18270
2002-05-06 12:00,18190
2002-05-06 13:00,18266
2002-05-06 14:00,18143
2002-05-06 15:00,17985
2002-05-06 16:00,18204
2002-05-06 17:00,18447
2002-05-06 18:00,18188
2002-05-06 19:00,17924
2002-05-06 20:00,18075
2002-05-06 21:00,17846
2002-05-06 22:00,16547
2002-05-06 23:00,14967
2002-05-06 0:00,13981
2002-05-07 1:00,13888
2002-05-07 2:00,13703
2002-05-07 3:00,13805
2002-05-07 4:00,13811
2002-05-07 5:00,13753
2002-05-07 6:00,14772
2002-05-07 7:00,16526
2002-05-07 8:00,17430
2002-05-07 9:00,17864
2002-05-07 10:00,18116
2002-05-07 11:00,18313
2002-05-07 12:00,18251
2002-05-07 13:00,18185
2002-05-07 14:00,17967
2002-05-07 15:00,17816
2002-05-07 16:00,17989
2002-05-07 17:00,17873
2002-05-07 18:00,17349
2002-05-07 19:00,17034
2002-05-07 20:00,17311
2002-05-07 21:00,17638
2002-05-07 22:00,16351
2002-05-07 23:00,14985
2002-05-07 0:00,14289
2002-05-08 1:00,13838
2002-05-08 2:00,13831
2002-05-08 3:00,13772
2002-05-08 4:00,14116
2002-05-08 5:00,14450
2002-05-08 6:00,15293
2002-05-08 7:00,16743
2002-05-08 8:00,17623
2002-05-08 9:00,17738
2002-05-08 10:00,17866
2002-05-08 11:00,17981
2002-05-08 12:00,17766
2002-05-08 13:00,17731
2002-05-08 14:00,17824
2002-05-08 15:00,17939
2002-05-08 16:00,18304
2002-05-08 17:00,18315
2002-05-08 18:00,18111
2002-05-08 19:00,18111
2002-05-08 20:00,18496
2002-05-08 21:00,18338
2002-05-08 22:00,17050
2002-05-08 23:00,15692
2002-05-08 0:00,14548
2002-05-09 1:00,14093
2002-05-09 2:00,13959
2002-05-09 3:00,13980
2002-05-09 4:00,14009
2002-05-09 5:00,14223
2002-05-09 6:00,15302
2002-05-09 7:00,17561
2002-05-09 8:00,18654
2002-05-09 9:00,18899
2002-05-09 10:00,19018
2002-05-09 11:00,19134
2002-05-09 12:00,18946
2002-05-09 13:00,18983
2002-05-09 14:00,18699
2002-05-09 15:00,18553
2002-05-09 16:00,18752
2002-05-09 17:00,18662
2002-05-09 18:00,18247
2002-05-09 19:00,17956
2002-05-09 20:00,17958
2002-05-09 21:00,18099
2002-05-09 22:00,16994
2002-05-09 23:00,15276
2002-05-09 0:00,14232
2002-05-10 1:00,14007
2002-05-10 2:00,13848
2002-05-10 3:00,13695
2002-05-10 4:00,13604
2002-05-10 5:00,13812
2002-05-10 6:00,14847
2002-05-10 7:00,16816
2002-05-10 8:00,17669
2002-05-10 9:00,17890
2002-05-10 10:00,18048
2002-05-10 11:00,18097
2002-05-10 12:00,17976
2002-05-10 13:00,17803
2002-05-10 14:00,17682
2002-05-10 15:00,17586
2002-05-10 16:00,17498
2002-05-10 17:00,17235
2002-05-10 18:00,16908
2002-05-10 19:00,16708
2002-05-10 20:00,16785
2002-05-10 21:00,16976
2002-05-10 22:00,16296
2002-05-10 23:00,15081
2002-05-10 0:00,14145
2002-05-11 1:00,13716
2002-05-11 2:00,13743
2002-05-11 3:00,13630
2002-05-11 4:00,13554
2002-05-11 5:00,13452
2002-05-11 6:00,13487
2002-05-11 7:00,14364
2002-05-11 8:00,15346
2002-05-11 9:00,15889
2002-05-11 10:00,16136
2002-05-11 11:00,16147
2002-05-11 12:00,15933
2002-05-11 13:00,15584
2002-05-11 14:00,15276
2002-05-11 15:00,14998
2002-05-11 16:00,15141
